"lipid","logFC","logCPM","LR","PValue","FDR","Length1","Length2","Title_1","Title_2","type","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0141","AK0145","AK0164","AK0174","AK0175","Blank-1x"
"FA(20:1)",5.882389549612,7.57792130476891,238.585283712152,8.001668333879e-54,1.19784974958169e-50,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",0,3379318.67854309,0,621.220035552979,0,0,0,0,3059.62016296387,0,0,7982.56058883667
"FA(20:3)",0.781378858481667,6.3367324047407,6.68949727332074,0.00969825499735164,0.967885848735694,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",0,891641.778381348,0,12652.4208106995,0,0,0,11239.8808479309,383519.467556,0,0,7980.9806098938
"(11Z)-eicoseneoylcarnitine",0.341268256932546,10.1213478634261,1.30007561553793,0.254199412019693,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1214094.59409332,874512.306617737,917052.641334534,1276892.70127106,993399.826881409,2675306.80063629,947482.819801331,843787.094581604,993007.289283752,953729.653297424,996998.67490387,285046.478660583
"(11Z,14Z)-eicosadienoylcarnitine",0.326674831256372,10.0493670467738,1.19185413775995,0.274955873556107,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1096807.07551193,896266.186229706,935168.703807831,1018562.21137619,893244.708080292,2537551.6558342,905822.565013885,847193.862010956,898097.001903534,971333.275157928,848801.415782928,283604.880786896
"(13Z,16Z)-docosadienoylcarnitine",0.346167497542126,9.93854679165099,1.33744594171367,0.247484884203051,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1306784.4730072,1011531.12394714,968105.197128296,1216090.28245544,881543.310043335,2525566.94529724,1032763.7386322,897988.474105835,1057001.47270203,1039582.9828949,836130.388534546,181664.573623657
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.0908286326378955,10.6966540620757,0.0927734169672476,0.76068050177068,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",2498440.66690826,1470463.89676666,1644985.46854401,2096695.09207916,2152686.36820221,4425243.95914459,1689484.7239151,2025328.73581696,1930495.56174469,2672276.67710114,2408303.12369537,114023.587242126
"(5Z,8Z)-tetradecadienoylcarnitine",0.443212555690867,9.33808331078886,2.18474037917144,0.139384565678494,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",936579.694274902,559842.308654785,563162.86340332,778231.052429199,486904.774719238,1608040.3336792,551671.652282715,540814.87878418,501153.475524902,606572.522766113,493916.833068848,158361.429992676
"(7Z,10Z)-hexadecadienoylcarnitine",0.301597921573839,9.84884002402608,1.01673942792695,0.31329367647711,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1308680.62150192,898265.502483368,823792.063518524,1228886.15238571,891715.31974411,2444696.80424118,966618.42130661,932469.051158905,846341.378154755,1138396.1028862,931652.318889618,148019.671100616
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.313127554429569,9.8433972626452,1.09554610063424,0.29524563098807,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1210287.32909775,981800.83184433,925923.050106049,1161537.89367294,843012.834285736,2408513.06048203,1001150.5486412,923591.892757416,925799.776546478,1024292.97600937,874100.570430755,153256.150943756
"(9Z)-3-hydroxyoctadecenoylcarnitine",0.292321516188355,11.8258586151793,0.955449775119632,0.328335972482837,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",4857351.99533844,4627310.2730484,3972898.78733063,4235443.03098297,5598230.29880524,8407071.19553375,4484290.9235611,4019533.56174469,4553289.79782867,3515223.73557281,4494522.01218414,341258.060325623
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.248204875781813,10.4810792379046,0.689778374769958,0.406239773893842,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",1834490.79475403,1745435.20301819,1580443.36335754,1733230.67292786,1938505.84724426,3166745.36933899,1742914.45033264,1412257.01472473,1929320.99165344,1503168.70271301,1628144.94648743,168484.032516479
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.254242629668313,11.7493559400933,0.72361256423028,0.394961473177097,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","CAR",5037761.92102051,4525591.08496094,3597428.50280762,3957146.46508789,5286481.27062988,8098117.85290527,4299456.14355469,4125082.82995605,4526077.21337891,3665210.82556152,4285290.13110352,263180.440063477
"[TG(48:0)]_FA16:0",0.0939661323077802,9.27788503984036,0.0992851659502776,0.752689154950309,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1085509.42468262,758536.716186523,757786.813598633,882822.660522461,428211.915893555,737065.231079102,805012.284545898,756875.488647461,593431.941040039,958475.646362305,452177.678833008,112665.727172852
"[TG(48:0)]_FA16:1",-0.0243397989615287,7.50499634547045,0.00667905917907774,0.934864991218912,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",303796.917572021,250738.978302002,208853.436187744,253636.916412354,149626.111114502,249856.6980896,273897.519683838,291481.282440186,234350.293731689,270851.598022461,135516.109069824,22770.9817810059
"[TG(48:0)]_FA18:0",0.0911968753772384,8.59574039721764,0.093525294745632,0.759742418905255,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",703511.151763916,621028.664215088,543033.345611572,613432.38772583,335826.457183838,546327.924407959,647176.002349854,545624.198638916,549313.859283447,603653.371917725,295764.158721924,29830.4618835449
"[TG(48:0)]_FA18:1",-0.0168895168033686,8.43728030105204,0.0032155666485778,0.954779421002676,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",580467.820831299,574872.536651611,475004.020782471,533770.242767334,339468.108001709,490480.592315674,584512.101776123,655417.369476318,503751.381195068,503019.459892273,295392.960754395,17700.5612487793
"[TG(48:0)]_FA18:2",0.151031006995607,7.33001175226445,0.256107380975209,0.612807138118567,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",220839.11668396,278558.359268188,206872.556869507,244791.422470093,136356.667434692,210966.01725769,231612.577438354,198872.053543091,192642.293136597,209898.517532349,127870.670028687,22883.7616729736
"[TG(48:1)]_FA16:0",0.184530179001323,8.53323736007125,0.381973351890338,0.536549019442326,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",886363.333068848,384240.15045166,437875.465148926,667214.632019043,263477.776794434,568870.679382324,518455.175842285,461764.097351074,432981.913635254,605304.40625,279188.08380127,40776.9426879883
"[TG(48:1)]_FA16:1",0.0678142888202766,9.16805124440846,0.0517438029628465,0.820056240013696,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",991579.390625,648297.901367188,664824.370117188,771244.750488281,382013.565673828,647710.86328125,710848.895996094,661818.196777344,551603.259277344,854307.439453125,424154.530517578,118073.269042969
"[TG(48:1)]_FA18:0",0.135815083000579,8.96752084668221,0.207192197660333,0.648977088538186,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1092753.29084778,680790.095718384,587702.079147339,919716.614395141,445629.576187134,946593.360855103,736720.320449829,792869.88734436,647634.61958313,950652.108779907,385322.248123169,19568.4814300537
"[TG(48:1)]_FA18:1",0.0817614721498379,8.48006903656997,0.0751910097801556,0.783923403848528,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",646422.825134277,527001.141357422,460626.942382812,552956.758422852,302871.341796875,511226.557312012,585519.683837891,465683.728271484,477045.436035156,552869.384643555,282521.901916504,35556.7622070312
"[TG(48:1)]_FA18:2",-0.00870525546364323,8.02902660943227,0.000854104056088545,0.976685095813362,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",404345.606262207,423607.389678955,357562.266937256,400738.384735107,231866.456878662,354514.585723877,405736.486541748,442323.449127197,377137.045562744,371871.991729736,224581.997955322,21596.1012878418
"[TG(48:2)]_FA16:0",0.0663694803482151,7.63096978284343,0.04956312374361,0.823825221876192,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",336307.327911377,243379.376922607,210837.656158447,273620.158355713,147121.850921631,230270.195220947,286025.904449463,264746.197296143,222740.278839111,233378.357208252,134960.729522705,38084.2627868652
"[TG(48:2)]_FA16:1",0.211478785493248,8.52860187643658,0.501297404787238,0.478930607852952,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",883406.532287598,381909.248474121,432472.666809082,682310.797302246,264727.976501465,574004.177612305,493105.713317871,455434.375915527,420708.851135254,610839.300476074,274352.3203125,41236.742980957
"[TG(48:2)]_FA18:0",0.281646441531601,9.63235620690709,0.887240878355442,0.346226100482467,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1398817.3870697,1621707.20121765,1244707.76795959,1395938.37620544,787871.940231323,1383681.16600037,1013807.56712341,1473432.30949402,843455.077316284,1418441.39398193,573986.3853302,19089.681350708
"[TG(48:2)]_FA18:1",0.151002154719005,9.01711004050151,0.256016664890922,0.61287006245086,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1137273.3622818,682754.468482971,633085.901802063,970957.482521057,461491.277381897,997300.855781555,754756.261329651,796010.795570374,688741.88419342,987531.629005432,403531.102729797,18222.2210922241
"[TG(48:2)]_FA18:2",0.129120773090316,8.34221232115762,0.187301952798975,0.665171729949367,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",537477.272705078,409414.7109375,369375.045166016,472812.627807617,231517.477539062,403834.072387695,458512.031738281,330628.863891602,354807.526977539,439497.774169922,233471.358154297,61948.9645996094
"[TG(48:3)]_FA16:0",0.0934431018480438,7.38427028494103,0.0981815974782878,0.754022797599269,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",275755.238052368,213412.59437561,156171.150863647,240000.516738892,128362.748947144,251411.173355103,239426.035842896,255843.797622681,167043.512435913,216550.416641235,102531.326858521,29251.9420623779
"[TG(48:3)]_FA16:1",0.0634651493609065,7.53753810637422,0.045323273212091,0.831410708637779,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",319531.479827881,221746.093963623,198663.354095459,263394.961883545,137427.289398193,210571.352874756,271041.578460693,238269.29586792,218113.65536499,220156.734954834,126518.548675537,35569.5226135254
"[TG(48:3)]_FA18:0",0.266267194469207,9.03156862308423,0.793374387343647,0.373081731273852,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",985656.904037476,939423.753372192,790071.247146606,940370.755447388,495067.277114868,982795.677429199,749506.588027954,908955.250320434,518058.731704712,972786.770828247,383682.244735718,14379.9409637451
"[TG(48:3)]_FA18:1",0.258485861104696,9.57773707863571,0.747865315586751,0.38715292720246,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1326745.68081665,1566388.31494141,1198783.20578003,1316352.5206604,759288.355285645,1315507.80334473,984814.140411377,1422593.05966187,815372.453704834,1364330.84114075,576593.820610046,18693.4814147949
"[TG(48:3)]_FA18:2",0.15409020849926,8.67685648872816,0.266571955020481,0.605640659385032,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",829054.056640625,505613.792694092,500184.029083252,780366.015655518,350259.886352539,752937.36807251,564409.505340576,548213.255432129,499749.472808838,796547.292999268,332432.543426514,26126.9019470215
"[TG(50:0)]_FA16:0",-0.0236989058376269,8.83682027656911,0.00633199619551305,0.936576200962898,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",719817.499084473,523735.278625488,462988.533752441,568350.547424316,358149.782287598,525464.359924316,578634.880432129,532552.259338379,477365.695861816,763425.726501465,334067.984680176,91281.6264038086
"[TG(50:0)]_FA16:1",0.0356187396176899,7.7699209177093,0.0142852552827222,0.904862650614443,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",349387.706573486,303797.001678467,262688.299530029,311128.436126709,187758.215667725,291628.596160889,334599.684783936,292604.440338135,288350.596466064,329973.483825684,153742.851287842,29583.4222717285
"[TG(50:1)]_FA18:0",0.165537647339666,9.20934274083454,0.307555979099561,0.579183820864945,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1214868.66998291,880687.597961426,826702.531066895,916350.313781738,508903.13092041,776484.870300293,842205.40020752,811475.039611816,680249.80670166,987823.306091309,450357.709899902,57626.3649291992
"[TG(50:1)]_FA18:1",0.052257000992511,7.92217822981895,0.0307366918868865,0.86082911730631,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",409433.871124268,384266.548370361,297548.442321777,379813.650421143,212784.193267822,368891.821868896,371634.785797119,394029.624542236,320529.543792725,379269.767456055,183281.850097656,21293.2616882324
"[TG(50:1)]_FA18:2",0.147357677941318,7.06091005772769,0.24382314315983,0.621458373239097,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",189192.072128296,219540.155593872,165157.093338013,200172.295822144,118315.529037476,177719.830673218,208215.553421021,154689.670059204,168377.431564331,177314.512863159,95922.3061676026,19282.9813995361
"[TG(50:2)]_FA16:0",0.275636597885202,8.88471773526471,0.849937654005771,0.356569975742811,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1319422.63256836,417429.031860352,440322.347167969,657786.729370117,275319.735595703,531549.017700195,568195.474975586,473672.537597656,500356.118896484,471716.765930176,341721.216796875,99566.4071044922
"[TG(50:2)]_FA16:1",-0.00902551637963803,8.86176168796438,0.000918117390028783,0.975827436113759,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",754560.714355469,527084.391845703,469299.470947266,556821.524414062,358478.419189453,530744.936767578,568726.930908203,528421.817871094,472289.311523438,774481.71081543,337746.916259766,95947.7084960938
"[TG(50:2)]_FA18:0",0.188606435115991,8.67172242934798,0.398989963774511,0.527611343088781,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",922802.371398926,538408.098205566,499099.14050293,746796.858093262,332524.127258301,682287.147460938,601047.503845215,579649.961486816,479235.447814941,713461.996520996,309247.719665527,28638.221862793
"[TG(50:2)]_FA18:1",0.146107235753311,9.4993253367366,0.239719590143068,0.624408714906652,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1440618.3067627,992085.354614258,945288.139770508,1060915.02062988,570553.14074707,929130.25769043,962326.955688477,936916.779907227,762064.250854492,1193696.89562988,544575.099731445,95509.1473388672
"[TG(50:2)]_FA18:2",0.079661917805093,7.55825475187508,0.0713814281534724,0.789335940259713,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",301058.280731201,278503.499938965,213551.452880859,281718.122924805,151920.788513184,260115.514648438,263560.31854248,256985.696716309,217108.09753418,280125.781433105,142713.72756958,27040.3618774414
"[TG(50:3)]_FA16:0",0.275248173812198,8.16670842584365,0.847548050730893,0.357246908968979,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",721628.225250244,378545.966583252,337660.203430176,459663.814239502,228922.099029541,368443.224884033,425333.234039307,353560.027496338,343003.268707275,342325.38973999,212826.496490478,35852.0422058105
"[TG(50:3)]_FA16:1",0.291463945627585,8.89274859711832,0.949867208849355,0.329753100458079,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1340161.93707275,404959.510803223,445853.28704834,674976.429138184,268297.013366699,529806.395690918,561374.91619873,466885.261291504,495594.988952637,480877.132019043,332245.205749512,101852.968566895
"[TG(50:3)]_FA18:0",0.307289725272478,9.5522119604575,1.05527979562066,0.304294228402418,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1326723.08512878,1527923.38682556,1160684.46833801,1348242.57035828,747008.002670288,1281344.86558533,919534.199752808,1303544.97312927,766373.04045105,1337503.87004089,577408.60697937,23989.7818145752
"[TG(50:3)]_FA18:1",0.218649789103524,8.82354818296824,0.535759476271778,0.464195469850916,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1073984.70611572,589648.559753418,546700.828857422,851448.014709473,368430.426818848,757285.24786377,633653.360778809,642861.387023926,526324.17401123,805348.879821777,337393.043457031,31017.7620239258
"[TG(50:3)]_FA18:2",0.171227616421568,9.42577475224683,0.329010869641934,0.56624210513467,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1189849.47827148,750531.977294922,743478.674560547,904108.221435547,422165.830322266,761183.072021484,775901.753417969,692382.177001953,566194.572509766,912038.146728516,445092.671875,169117.352783203
"[TG(50:4)]_FA16:0",0.114230648422687,7.79607649073075,0.146648968338901,0.701758516224287,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",390112.908996582,356948.803588867,266480.999023438,359107.404052734,214584.235839844,322428.300354004,392738.206359863,286971.537414551,315020.344604492,299719.51751709,182867.114959717,19702.701171875
"[TG(50:4)]_FA16:1",0.297660385120175,8.14429827852852,0.990477446235673,0.319625710459068,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",724111.544128418,369909.511169434,333784.580932617,455444.229675293,225750.412902832,356098.205505371,423226.689880371,339874.161682129,333283.182434082,330381.38470459,204518.615966797,35977.5025024414
"[TG(50:4)]_FA18:0",0.285783157269679,8.79007909803424,0.913368850884581,0.339222140732929,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",809109.2578125,799046.725036621,561082.269836426,807253.90246582,457577.137207031,883350.341278076,532608.218688965,802931.115600586,410593.553070068,804677.34765625,346644.866409302,15680.9410400391
"[TG(50:4)]_FA18:1",0.286683672635725,9.51280180054051,0.919112167739513,0.337708196048363,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1300358.16436768,1462402.50927734,1089349.03353882,1289088.63598633,738282.739807129,1227245.02935791,910093.934570312,1289467.58721924,738139.854675293,1307410.80688477,549485.826538086,26350.5017700195
"[TG(50:4)]_FA18:2",0.236904433635204,8.58925235649541,0.628607895160258,0.427866407292503,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",824896.267272949,426567.496765137,440162.607971191,688893.627990723,266921.296325684,578295.006286621,499046.427185059,439537.851501465,391210.168762207,597822.70098877,276636.777038574,55874.9841918945
"[TG(52:0)]_FA16:0",-0.0671956585743723,8.87334871402139,0.0509483052046562,0.821421292049555,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",698997.34954834,645662.76776123,534616.477722168,607561.943786621,468665.551940918,590892.377502441,790197.40447998,575764.28338623,596404.597839355,893920.684448242,339632.04699707,59264.8438110351
"[TG(52:0)]_FA16:1",-0.0358582765487179,7.78330175708588,0.0144997937909466,0.904154338644983,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",347496.784210205,310644.121673584,235449.699279785,317478.003265381,202338.653717041,297868.101959229,401554.949432373,287789.158782959,314942.841400146,316514.53805542,170975.252960205,26867.2020568848
"[TG(52:0)]_FA18:0",0.0574418308005677,9.12429517857739,0.0371345599778579,0.847191342636057,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",996123.516357422,784576.152587891,581497.642089844,725161.275634766,617525.043945312,681098.397583008,675560.033203125,657301.207763672,555111.654052734,1275113.9708252,390872.507080078,71442.6845703125
"[TG(52:0)]_FA18:1",0.0538053161977879,7.96571293322139,0.0325839120998808,0.856752091412851,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",413086.409957886,383097.631027222,298921.71836853,377219.626266479,228111.034347534,369485.231918335,375077.089645386,362354.181686401,326467.865768433,425403.97038269,180305.494064331,25317.8617706299
"[TG(52:0)]_FA18:2",-0.000341997579750963,7.10846164997594,1.31801243696827e-06,0.999083991043186,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",201111.993286133,202791.89453125,153195.488586426,194925.312744141,103985.808227539,180754.576416016,244675.619384766,148287.29083252,193056.613708496,175842.811355591,109232.048309326,21737.6012573242
"[TG(52:0)]_FA20:0",0.0395743266296209,8.1743564971263,0.0176328467250642,0.894360467849736,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",470376.554779053,442562.338653564,359707.903533936,433327.354888916,255228.255523682,397326.726043701,469734.097442627,365902.584442139,388386.003204346,462731.834259033,233734.577545166,31138.5220031738
"[TG(52:0)]_FA20:4",0.257589870030009,9.84323676208975,0.74271126993699,0.388793743542315,0.999751827935594,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","TAG",1823200.03570557,1351200.92007446,1113936.47677612,1821284.27114868,909661.835601807,2133845.90036011,1544365.50100708,1313583.64920044,927483.288970947,1733942.38137817,810221.658477783,13763.2809143066
